id,name,file,source_url,width,height
00112,Champú con Biotina & Keratina - 1000ml,00112.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_biotina.png?v=1764596976,2048,2048
00113,Loción bifásica capilar acondicionadora - 300 ml,00113.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/locion-bifasica-biotina.webp?v=1752493945,2048,2048
00114,Crema de manos Vainilla - 30 ml,00114.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/cremademanosvainilla.jpg?v=1752493941,2048,2048
00135,Crema de Baba Caracol - 50 ml,00135.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/crema-baba-de-caracol.jpg?v=1752493904,2048,2048
00138,Crema facial Activo despigmentante SPF 20 - 50 ml,00138.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/crema-despigmentante-spf20.jpg?v=1752493856,2048,2048
00140,Crema hidratante con Ácido hialurónico - 50 ml,00140.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/crema-facial-hidratante-acido-hialuronico.jpg?v=1752493850,2048,2048
00143,"Champú de Cebolla - Revitalizante, antioxidante y purificante - 1000 ml",00143.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_de_cebolla_para_el_pelo.png?v=1765437969,2048,2048
00144,Champú cola swag effect - 1000 ml,00144.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-cola-cafeina-vainilla-canela-1000ml-valquer.jpg?v=1786523859,2048,2048
00146,Mascarilla capilar de cebolla - 300 ml,00146.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla_de_cebolla_para_el_cabello.jpg?v=1770195155,2048,2048
00149,"Champú Jengibre - Anticaspa, Revitalizante y Fortalecedor - 1000 ml",00149.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-jengibre-estimulante-capilar-valquer-1000ml.webp?v=1783682582,2048,2048
00160,"Champú de Cebolla - Revitalizante, antioxidante y purificante - 500 ml",00160.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_de_cebolla.png?v=1765364130,2048,2048
00170,Champú sólido sin sulfatos Sky Cabello normal - 50 g,00170.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/00170.jpg?v=1736518540,2048,2049
00171,Champú sólido sin sulfatos Pure Cabello graso -  50 g,00171.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/products/champu-solido-cabello-graso.jpg?v=1736518531,650,650
00172,Champú Sólido Sin Sulfatos Petal Cabello Seco - 50 g,00172.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/products/champu-solido-cabello-seco.jpg?v=1736518526,650,650
00173,Champú Sólido Sin Sulfatos Sunset Familiar - 50 g,00173.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-solido-sin-sulfatos.jpg?v=1736518593,650,650
00182,Sérum reparador de manos - Hidratación Intensa y Acción Antiedad - 50 ml,00182.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/serum-reparador.jpg?v=1683643945,650,650
10105,Agua Micelar para Pieles sensibles - Limpieza Suave y Eficaz - 400 ml,10105.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/agua_micelar.webp?v=1765881024,2048,2048
10116,"Leche Limpiadora Facial – Limpieza Profunda, Hidratación y Suavidad Natural - 500 ml",10116.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/leche_limpiadora.jpg?v=1765879218,2048,2048
10132,Peeling Facial – Gel Exfoliante Suave con Microgránulos Naturales - 50 ml,10132.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/products/10132.jpg?v=1769521299,2000,2000
10134,Peeling Facial – Gel Exfoliante Suave con Microgránulos Naturales - 250 ml,10134.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/peeling_facial.webp?v=1765878729,2048,2048
10144,Mascarilla facial calmante - 250 ml,10144.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/mascarilla_facial_calmante.webp?v=1757401382,2048,2048
10154,Desmaquillante de Ojos – Suavidad y Frescor para Pieles Sensibles - 250 ml,10154.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/desmaquillante-ojos-valquer-origins-agua-hamamelis.jpg?v=1782213441,2048,2048
10215,"Loción Facial Hidratante Tonificante – Refresca, Calma e Hidrata Sin Alcohol - 250 ml",10215.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/10215.png?v=1765977303,2048,2048
10216,"Loción Facial Hidratante Tonificante – Refresca, Calma e Hidrata Sin Alcohol - 500 ml",10216.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/locion_hidratante_tonificante.jpg?v=1765977303,2048,2048
10221,Sérum Facial Ultra-Hidratante – Acción Inmediata para Pieles Muy Secas - 30 ml,10221.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/serum_facial_hidratante.jpg?v=1771855960,2048,2048
10232,Activo facial hidratante B-Jour - 50 ml,10232.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/Activo-facial-hidratante.jpg?v=1736518496,650,650
